Symbol,CompanyID
RELIANCE,2726
HDFCBANK,1298
TCS,3365
BHARTIARTL,467
ICICIBANK,1384
SBIN,3188
INFY,1489
BAJFINANCE,372
HINDUNILVR,1350
ITC,1552
LICI,1275221
LT,1870
KOTAKBANK,1818
SUNPHARMA,3245
HCLTECH,1297
MARUTI,2023
AXISBANK,348
M&M,1973
ULTRACEMCO,3525
NTPC,2303
BAJAJFINSV,373
ONGC,2320
TITAN,3437
HAL,1274307
POWERGRID,2523
DMART,1273670
ADANIENT,56
ADANIPORTS,57
JSWSTEEL,1657
WIPRO,3763
TATAMOTORS,3370
COALINDIA,681
ASIANPAINT,295
NESTLEIND,2236
BAJAJ-AUTO,369
BEL,456
ETERNAL,1274894
ADANIPOWER,58
INDIGO,1273121
IOC,1448
HINDZINC,1351
GRASIM,1198
TRENT,3467
VBL,1273562
TATASTEEL,3373
SBILIFE,1274150
IRFC,1274825
DLF,841
JIOFIN,1284422
VEDL,2943
DIVISLAB,837
PIDILITIND,2478
EICHERMOT,888
HDFCLIFE,1274197
ADANIGREEN,1274366
TECHM,100068
HINDALCO,1328
PFC,2522
BAJAJHLDNG,375
HYUNDAI,1285116
BPCL,462
AMBUJACEM,163
LTIM,1273442
TVSMOTOR,3502
LODHA,1274865
BRITANNIA,553
BANKBARODA,395
GODREJCP,1164
CHOLAFIN,648
TATAPOWER,3371
CIPLA,661
GAIL,1074
SOLARINDS,3115
PNB,2600
ABB,27
SHRIRAMFIN,3046
TATACONSUM,3367
RECLTD,2809
INDHOTEL,1443
MAZDOCK,1274794
UNITDSPR,3555
TORNTPHARM,3445
ADANIENSOL,1272969
INDUSTOWER,244384
SHREECEM,2998
MAXHEALTH,1274774
MANKIND,1284353
BAJAJHFL,1284966
SIEMENS,3061
APOLLOHOSP,218
HAVELLS,1288
DRREDDY,852
DIXON,1274137
UNIONBANK,3536
CGPOWER,739
LUPIN,1924
MOTHERSON,2132
HDFCAMC,1274395
GMRAIRPORT,1159
MARICO,2014
JINDALSTEL,1627
ICICIGI,1274145
NAUKRI,1485
SRF,3108
CANBK,579
ZYDUSLIFE,567
IDBI,1387
BSE,1273635
NHPC,2254
ICICIPRULI,1273517
NTPCGREEN,1285166
MUTHOOTFIN,2168
DABUR,757
POLYCAB,1274653
HINDPETRO,1348
BOSCHLTD,537
JSWENERGY,1655
PERSISTENT,2458
SBICARD,1274738
CUMMINSIND,744
IDEA,1388
BHEL,460
BHARTIHEXA,1284744
INDIANB,1439
TORNTPOWER,3446
HEROMOTOCO,1308
SUZLON,3305
WAAREEENER,1285121
OFSS,2344
RVNL,1274649
GICRE,1274184
POLICYBZR,1275091
SWIGGY,1285142
COLPAL,685
AUROPHARMA,325
IOB,1449
PATANJALI,2803
ATGL,1274591
ASHOKLEY,281
COROMANDEL,715
OIL,2322
LLOYDSME,1902
INDUSINDBK,1480
BERGEPAINT,429
GODREJPROP,98066
ABBOTINDIA,28
JSWINFRA,1284497
POWERINDIA,1274744
IRCTC,1274700
OBEROIRLTY,2313
ALKEM,1273171
PHOENIXLTD,2470
SUNDARMFIN,3253
NMDC,2287
UBL,3548
PRESTIGE,2558
YESBANK,3783
PAYTM,1275094
NYKAA,1274992
PIIND,2474
MRF,2141
